title,url,viewer_url,kogl_type1,parent_docid,mngno,docid,item_title,source_id
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0087",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050576627&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050576627,True,0014177170,BJCA000152,0050576627,관훈동 0087,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0088",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050407703&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050407703,True,0014177170,BJCA000152,0050407703,관훈동 0088,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0089",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050407704&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050407704,True,0014177170,BJCA000152,0050407704,관훈동 0089,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0090",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050576578&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050576578,True,0014177170,BJCA000152,0050576578,관훈동 0090,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0091",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050576579&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050576579,True,0014177170,BJCA000152,0050576579,관훈동 0091,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0092",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050407705&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050407705,True,0014177170,BJCA000152,0050407705,관훈동 0092,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0093",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050407706&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050407706,True,0014177170,BJCA000152,0050407706,관훈동 0093,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0094",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050576580&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050576580,True,0014177170,BJCA000152,0050576580,관훈동 0094,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0095",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050407707&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050407707,True,0014177170,BJCA000152,0050407707,관훈동 0095,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0096",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050407708&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050407708,True,0014177170,BJCA000152,0050407708,관훈동 0096,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0097",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050576581&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050576581,True,0014177170,BJCA000152,0050576581,관훈동 0097,
